class,description,color
0,UNCLASSIFIED,#ffffffff
1,Temperate or sub-polar needleleaf forest,#003D00
2,Sub-polar taiga needleleaf forest,#949C70
5,Temperate or sub-polar broadleaf deciduous forest,#148C3D
6,Mixed forest,#5B752B
8,Temperate or sub-polar shrubland,#0ed186ff
10,Temperate or sub-polar grassland,#4ff26aff
11,Sub-polar or polar shrubland-lichen-moss,#9C7554
12,Sub-polar or polar grassland-lichen-moss,#BAD48F
13,Sub-polar or polar barren-lichen-moss,#408A70
14,Wetland,#3fd7c5ff
15,Cropland,#b3f62cff
16,Barren land,#A8ABAE
17,Urban and built-up,#DC2126
18,Water,#4C70A3
19,Snow and ice,#d2ccd2ff
