Region,potential_capacity_solar,potential_capacity_wind
Alberni-Clayoquot,3986,551
Bulkley-Nechako,68422,141558
Capital,587,1199
Cariboo,39215,83991
CentralCoast,3320,1585
CentralKootenay,22900,2244
CentralOkanagan,5975,8676
Columbia-Shuswap,18725,6369
Comox-Strathcona,12025,2913
CowichanValley,1517,1819
EastKootenay,18206,3456
Fraser-FortGeorge,51294,90739
FraserValley,9376,1990
GreaterVancouver,1794,2087
Kitimat-Stikine,35847,39780
KootenayBoundary,10670,7278
MountWaddington,9600,2324
Nanaimo,1460,1205
NorthOkanagan,13649,11104
NorthernRockies,92572,183277
Okanagan-Similkameen,10699,12238
PeaceRiver,108522,187597
PowellRiver,1314,506
Skeena-QueenCharlotte,2087,518
Squamish-Lillooet,8628,4570
Stikine,82532,131385
SunshineCoast,1781,88
Thompson-Nicola,29341,35723
